frog_number,treatment,vaccine_status,vaccine_strain,livebd_strain,days_postBd_death,mortality_status
1,ASW-CA,NO,ASW,CA,16,0
2,ASW-CA,NO,ASW,CA,16,0
3,ASW-CA,NO,ASW,CA,16,0
4,ASW-CA,NO,ASW,CA,16,0
5,ASW-CA,NO,ASW,CA,16,1
6,ASW-CA,NO,ASW,CA,16,0
7,ASW-CA,NO,ASW,CA,16,0
8,ASW-CA,NO,ASW,CA,16,0
18,ASW-CA,NO,ASW,CA,16,0
20,ASW-CA,NO,ASW,CA,16,0
22,ASW-CA,NO,ASW,CA,16,0
23,CA*-CA,YES,CA,CA,7,1
26,Panama*-CA,YES,Panama,CA,16,0
27,CA*-CA,YES,CA,CA,16,0
30,Panama*-CA,YES,Panama,CA,16,0
31,CA*-CA,YES,CA,CA,16,0
34,Panama*-CA,YES,Panama,CA,16,0
35,CA*-CA,YES,CA,CA,16,0
38,Panama*-CA,YES,Panama,CA,16,0
39,CA*-CA,YES,CA,CA,16,0
40,ASW-CA,NO,ASW,CA,16,0
42,CA*-CA,YES,CA,CA,16,0
45,Panama*-CA,YES,Panama,CA,16,0
47,ASW-CA,NO,ASW,CA,16,0
49,ASW-CA,NO,ASW,CA,16,0
51,CA*-CA,YES,CA,CA,16,0
54,Panama*-CA,YES,Panama,CA,16,0
55,CA*-CA,YES,CA,CA,16,0
58,Panama*-CA,YES,Panama,CA,16,0
59,CA*-CA,YES,CA,CA,16,0
63,CA*-CA,YES,CA,CA,16,0
66,Panama*-CA,YES,Panama,CA,16,0
67,CA*-CA,YES,CA,CA,16,0
70,Panama*-CA,YES,Panama,CA,16,0
71,CA*-CA,YES,CA,CA,16,0
74,Panama*-CA,YES,Panama,CA,16,0
75,CA*-CA,YES,CA,CA,14,1
78,Panama*-CA,YES,Panama,CA,16,0
80,Panama*-CA,YES,Panama,CA,16,0
82,ASW-CA,NO,ASW,CA,16,0
84,CA*-CA,YES,CA,CA,16,0
87,Panama*-CA,YES,Panama,CA,16,0
88,CA*-CA,YES,CA,CA,16,0
89,ASW-CA,NO,ASW,CA,16,0
91,CA*-CA,YES,CA,CA,16,0
94,Panama*-CA,YES,Panama,CA,16,0
