frog_number,treatment,vaccine_status,vaccine_strain,livebd_strain,days_postBd_death,mortality_status
9,ASW-Panama,NO,ASW,Panama,16,0
10,ASW-Panama,NO,ASW,Panama,3,1
11,ASW-Panama,NO,ASW,Panama,16,0
12,ASW-Panama,NO,ASW,Panama,16,0
13,ASW-Panama,NO,ASW,Panama,16,0
14,ASW-Panama,NO,ASW,Panama,16,0
15,ASW-Panama,NO,ASW,Panama,16,0
16,ASW-Panama,NO,ASW,Panama,16,0
17,ASW-Panama,NO,ASW,Panama,13,1
19,ASW-Panama,NO,ASW,Panama,16,0
21,ASW-Panama,NO,ASW,Panama,16,0
24,CA*-Panama,YES,CA,Panama,16,0
25,Panama*-Panama,YES,Panama,Panama,16,0
28,CA*-Panama,YES,CA,Panama,16,0
29,Panama*-Panama,YES,Panama,Panama,16,0
32,CA*-Panama,YES,CA,Panama,16,0
33,Panama*-Panama,YES,Panama,Panama,16,0
37,Panama*-Panama,YES,Panama,Panama,16,0
41,ASW-Panama,NO,ASW,Panama,16,0
43,CA*-Panama,YES,CA,Panama,16,0
44,Panama*-Panama,YES,Panama,Panama,16,0
46,CA*-Panama,YES,CA,Panama,16,0
48,ASW-Panama,NO,ASW,Panama,16,0
50,ASW-Panama,NO,ASW,Panama,16,0
52,CA*-Panama,YES,CA,Panama,16,0
53,Panama*-Panama,YES,Panama,Panama,16,0
56,CA*-Panama,YES,CA,Panama,16,0
57,Panama*-Panama,YES,Panama,Panama,5,1
60,CA*-Panama,YES,CA,Panama,16,0
61,Panama*-Panama,YES,Panama,Panama,16,0
64,CA*-Panama,YES,CA,Panama,16,0
65,Panama*-Panama,YES,Panama,Panama,16,0
68,CA*-Panama,YES,CA,Panama,16,0
69,Panama*-Panama,YES,Panama,Panama,16,0
72,CA*-Panama,YES,CA,Panama,16,0
76,CA*-Panama,YES,CA,Panama,16,0
77,Panama*-Panama,YES,Panama,Panama,16,0
79,Panama*-Panama,YES,Panama,Panama,16,0
83,ASW-Panama,NO,ASW,Panama,16,0
85,CA*-Panama,YES,CA,Panama,16,0
90,ASW-Panama,NO,ASW,Panama,16,0
92,CA*-Panama,YES,CA,Panama,16,0
93,Panama*-Panama,YES,Panama,Panama,16,0
95,CA*-Panama,YES,CA,Panama,16,0
96,Panama*-Panama,YES,Panama,Panama,16,1
