Sample Name,Dilution,Survival,Treatment,Metabolite Strain or Control,Live Bd Strain,Exo IPC CT,NC CT,Inhibited?,Inhibition?,Bd CT,Quantity,Actual Quantity,Adjusted by gene copies,Final Bd Load,Infected,Final Mass (g),Bd/gram
1,DD,,ASW-CA,ASW,CA,33.6577759,32.3022327,1.35554314,no,34.0297775,2.55096316,2040.77053,8.06309969,8.06309969,1,8.03,1.004122004
2,DD,,ASW-CA,ASW,CA,33.4716797,32.3022327,1.16944695,no,30.6478767,26.6719742,21337.5793,84.3049362,84.3049362,1,6.89,12.2358398
3,DD,,ASW-CA,ASW,CA,33.3445816,32.3022327,1.04234886,no,35.7668457,0.76406121,611.24897,2.41504927,2.41504927,1,5.53,0.43671777
4,DD,,ASW-CA,ASW,CA,34.0106468,32.3022327,1.70841408,no,29.3416576,66.0339737,52827.179,208.720581,208.720581,1,8.12,25.70450505
5,DD,dead,ASW-CA,ASW,CA,Undetermined,32.3022327,#VALUE!,No ExoIPC,22.8114815,6138.34814,4910678.52,19402.1277,18087.0717,1,2.69,6723.818476
6,DD,,ASW-CA,ASW,CA,33.2894821,32.7879829,0.50149918,no,35.2423782,0.77395397,619.163179,2.44631837,2.44631837,1,7.05,0.346995514
7,DD,,ASW-CA,ASW,CA,33.400528,32.7879829,0.61254501,no,35.4142609,0.68040198,544.321585,2.15061867,2.15061867,1,9.03,0.238163751
8,DD,,ASW-CA,ASW,CA,32.9697189,32.7879829,0.18173599,no,35.3359413,0.72153831,577.230644,2.28064261,2.28064261,1,6.27,0.363738853
18,DD,,ASW-CA,ASW,CA,33.5404358,32.7879829,0.75245285,no,34.2416077,1.63861227,1310.88982,5.1793355,5.1793355,1,7.37,0.702759227
20,DD,,ASW-CA,ASW,CA,33.43536,32.7879829,0.64737701,no,35.2857552,0.74919611,599.35689,2.36806357,2.36806357,1,11.58,0.204495991
22,DD,,ASW-CA,ASW,CA,33.2209549,32.7879829,0.43297195,no,35.2581482,0.76485986,611.887884,2.41757362,2.41757362,1,20.03,0.120697635
23,DD,dead,CA*-CA,CA,CA,37.6042747,32.3022327,5.30204201,no,27.3785477,257.914368,206331.494,815.217282,815.217282,1,4.47,182.3752309
26,DD,,Panama*-CA,Panama,CA,33.1696739,32.3022327,0.86744118,no,36.479332,0.46598837,372.790694,1.47289883,1.47289883,1,7.75,0.190051462
27,DD,,CA*-CA,CA,CA,33.1165771,32.3022327,0.81434441,no,35.3476295,1.02208173,817.665386,3.23060208,3.23060208,1,5.56,0.58104354
30,DD,,Panama*-CA,Panama,CA,33.2285767,32.3022327,0.92634392,no,Undetermined,0,0,0,0,0,15.51,0
31,DD,,CA*-CA,CA,CA,32.5814934,32.3022327,0.27926064,no,Undetermined,0,0,0,0,0,11.92,0
34,DD,,Panama*-CA,Panama,CA,32.7742043,32.3022327,0.47197151,no,Undetermined,0,0,0,0,0,15.12,0
35,DD,,CA*-CA,CA,CA,32.8222733,32.3022327,0.52004051,no,35.601841,0.85676718,685.413742,2.70807484,2.70807484,1,6.7,0.404190275
38,DD,,Panama*-CA,Panama,CA,33.0196228,32.3022327,0.71739006,no,35.3662148,1.0089829,807.186317,3.1891992,3.1891992,1,9.21,0.3462757
39,DD,,CA*-CA,CA,CA,32.8392868,32.3022327,0.53705406,no,Undetermined,0,0,0,0,0,6.87,0
40,DD,,ASW-CA,ASW,CA,32.9820862,32.3022327,0.67985344,no,31.3737202,16.1166973,12893.3578,50.9417537,50.9417537,1,5.16,9.872432888
42,DD,,CA*-CA,CA,CA,32.7961998,32.3022327,0.49396706,no,35.3116112,1.04795361,838.362885,3.31237805,3.31237805,1,19.88,0.166618614
45,DD,,Panama*-CA,Panama,CA,32.7371025,32.3022327,0.43486977,no,Undetermined,0,0,0,0,0,5.95,0
47,DD,,ASW-CA,ASW,CA,32.7259445,32.3022327,0.42371178,no,35.7296944,0.7840181,627.214479,2.47812912,2.47812912,1,15.71,0.157742146
49,DD,,ASW-CA,ASW,CA,33.2966805,32.3022327,0.99444771,no,Undetermined,0,0,0,0,0,4.56,0
51,DD,,CA*-CA,CA,CA,33.3451195,32.3022327,1.04288673,no,Undetermined,0,0,0,0,0,8.17,0
55,DD,,CA*-CA,CA,CA,33.2370377,32.3022327,0.93480492,no,33.9503593,2.69551587,2156.4127,8.52000275,8.52000275,1,16.77,0.508050253
58,DD,,Panama*-CA,Panama,CA,33.4769974,32.7879829,0.68901443,no,Undetermined,0,0,0,0,0,5.51,0
59,DD,,CA*-CA,CA,CA,Undetermined,32.7879829,#VALUE!,No ExoIPC,25.4467697,1194.77466,955819.727,3776.45091,26416.4878,1,5.3,4984.242981
60,DD,,CA*-Panama,CA,Panama,33.0196533,32.7879829,0.23167038,no,34.4750061,1.37563312,1100.5065,4.34810943,4.34810943,1,5.02,0.866157257
63,DD,,CA*-CA,CA,CA,Undetermined,32.7879829,#VALUE!,No ExoIPC,27.4547634,265.254944,212203.955,838.41942,797.340845,1,14.75,54.05700644
66,DD,,Panama*-CA,Panama,CA,33.4579926,32.7879829,0.67000961,no,Undetermined,0,0,0,0,0,7.83,0
67,DD,,CA*-CA,CA,CA,33.5072289,32.7879829,0.71924591,no,35.8449211,0.49269852,394.158816,1.55732444,1.55732444,1,30.92,0.05036625
70,DD,,Panama*-CA,Panama,CA,32.804142,32.7879829,0.01615906,no,33.6147308,2.62138629,2097.10903,8.28569353,8.28569353,1,13.47,0.615122014
71,DD,,CA*-CA,CA,CA,33.4569016,32.7879829,0.66891861,no,36.8211212,0.23703809,189.630473,0.74923142,0.74923142,1,13.94,0.053746874
74,DD,,Panama*-CA,Panama,CA,Undetermined,32.7879829,#VALUE!,No ExoIPC,24.2235546,2988.51221,2390809.77,9446.10733,9446.10733,1,5.46,1730.056288
75,DD,dead,CA*-CA,CA,CA,Undetermined,32.7879829,#VALUE!,No ExoIPC,25.3936157,1243.33496,994667.969,3929.94061,4649.10176,1,4.75,978.7582653
78,DD,,Panama*-CA,Panama,CA,33.1137314,32.7879829,0.32574844,no,36.0333939,0.42779082,342.232656,1.35216379,1.35216379,1,6.27,0.215656107
80,DD,,Panama*-CA,Panama,CA,33.3738403,32.7879829,0.58585739,no,35.7501602,0.52896494,423.171949,1.67195555,1.67195555,1,10.88,0.153672385
82,DD,,ASW-CA,ASW,CA,33.6489754,32.7879829,0.86099243,no,Undetermined,0,0,0,0,0,3.17,0
84,DD,,CA*-CA,CA,CA,33.1192322,32.7879829,0.33124924,no,Undetermined,0,0,0,0,0,15.04,0
87,DD,,Panama*-CA,Panama,CA,32.5450554,31.4487143,1.09634113,no,29.8855896,55.0683632,44054.6906,174.060413,182.444554,1,6.46,28.24219102
88,DD,,CA*-CA,CA,CA,32.2789345,31.4487143,0.83022022,no,Undetermined,0,0,0,0,0,7.09,0
89,DD,,ASW-CA,ASW,CA,33.3136673,32.7879829,0.52568436,no,35.3968163,0.68935668,551.485348,2.17892275,3.01715349,1,6.81,0.443047502
