frog_number,treatment,vaccine_status,vaccine_strain,livebd_strain,days_postBd_death,mortality_status
1,ASW-CA,NO,ASW,CA,16,0
2,ASW-CA,NO,ASW,CA,16,0
3,ASW-CA,NO,ASW,CA,16,0
4,ASW-CA,NO,ASW,CA,16,0
5,ASW-CA,NO,ASW,CA,16,1
6,ASW-CA,NO,ASW,CA,16,0
7,ASW-CA,NO,ASW,CA,16,0
8,ASW-CA,NO,ASW,CA,16,0
9,ASW-Panama,NO,ASW,Panama,16,0
10,ASW-Panama,NO,ASW,Panama,3,1
11,ASW-Panama,NO,ASW,Panama,16,0
12,ASW-Panama,NO,ASW,Panama,16,0
13,ASW-Panama,NO,ASW,Panama,16,0
14,ASW-Panama,NO,ASW,Panama,16,0
15,ASW-Panama,NO,ASW,Panama,16,0
16,ASW-Panama,NO,ASW,Panama,16,0
17,ASW-Panama,NO,ASW,Panama,13,1
18,ASW-CA,NO,ASW,CA,16,0
19,ASW-Panama,NO,ASW,Panama,16,0
20,ASW-CA,NO,ASW,CA,16,0
21,ASW-Panama,NO,ASW,Panama,16,0
22,ASW-CA,NO,ASW,CA,16,0
23,CA*-CA,YES,CA,CA,7,1
24,CA*-Panama,YES,CA,Panama,16,0
25,Panama*-Panama,YES,Panama,Panama,16,0
26,Panama*-CA,YES,Panama,CA,16,0
27,CA*-CA,YES,CA,CA,16,0
28,CA*-Panama,YES,CA,Panama,16,0
29,Panama*-Panama,YES,Panama,Panama,16,0
30,Panama*-CA,YES,Panama,CA,16,0
31,CA*-CA,YES,CA,CA,16,0
32,CA*-Panama,YES,CA,Panama,16,0
33,Panama*-Panama,YES,Panama,Panama,16,0
34,Panama*-CA,YES,Panama,CA,16,0
35,CA*-CA,YES,CA,CA,16,0
37,Panama*-Panama,YES,Panama,Panama,16,0
38,Panama*-CA,YES,Panama,CA,16,0
39,CA*-CA,YES,CA,CA,16,0
40,ASW-CA,NO,ASW,CA,16,0
41,ASW-Panama,NO,ASW,Panama,16,0
42,CA*-CA,YES,CA,CA,16,0
43,CA*-Panama,YES,CA,Panama,16,0
44,Panama*-Panama,YES,Panama,Panama,16,0
45,Panama*-CA,YES,Panama,CA,16,0
46,CA*-Panama,YES,CA,Panama,16,0
47,ASW-CA,NO,ASW,CA,16,0
48,ASW-Panama,NO,ASW,Panama,16,0
49,ASW-CA,NO,ASW,CA,16,0
50,ASW-Panama,NO,ASW,Panama,16,0
51,CA*-CA,YES,CA,CA,16,0
52,CA*-Panama,YES,CA,Panama,16,0
53,Panama*-Panama,YES,Panama,Panama,16,0
54,Panama*-CA,YES,Panama,CA,16,0
55,CA*-CA,YES,CA,CA,16,0
56,CA*-Panama,YES,CA,Panama,16,0
57,Panama*-Panama,YES,Panama,Panama,5,1
58,Panama*-CA,YES,Panama,CA,16,0
59,CA*-CA,YES,CA,CA,16,0
60,CA*-Panama,YES,CA,Panama,16,0
61,Panama*-Panama,YES,Panama,Panama,16,0
63,CA*-CA,YES,CA,CA,16,0
64,CA*-Panama,YES,CA,Panama,16,0
65,Panama*-Panama,YES,Panama,Panama,16,0
66,Panama*-CA,YES,Panama,CA,16,0
67,CA*-CA,YES,CA,CA,16,0
68,CA*-Panama,YES,CA,Panama,16,0
69,Panama*-Panama,YES,Panama,Panama,16,0
70,Panama*-CA,YES,Panama,CA,16,0
71,CA*-CA,YES,CA,CA,16,0
72,CA*-Panama,YES,CA,Panama,16,0
74,Panama*-CA,YES,Panama,CA,16,0
75,CA*-CA,YES,CA,CA,14,1
76,CA*-Panama,YES,CA,Panama,16,0
77,Panama*-Panama,YES,Panama,Panama,16,0
78,Panama*-CA,YES,Panama,CA,16,0
79,Panama*-Panama,YES,Panama,Panama,16,0
80,Panama*-CA,YES,Panama,CA,16,0
82,ASW-CA,NO,ASW,CA,16,0
83,ASW-Panama,NO,ASW,Panama,16,0
84,CA*-CA,YES,CA,CA,16,0
85,CA*-Panama,YES,CA,Panama,16,0
87,Panama*-CA,YES,Panama,CA,16,0
88,CA*-CA,YES,CA,CA,16,0
89,ASW-CA,NO,ASW,CA,16,0
90,ASW-Panama,NO,ASW,Panama,16,0
91,CA*-CA,YES,CA,CA,16,0
92,CA*-Panama,YES,CA,Panama,16,0
93,Panama*-Panama,YES,Panama,Panama,16,0
94,Panama*-CA,YES,Panama,CA,16,0
95,CA*-Panama,YES,CA,Panama,16,0
96,Panama*-Panama,YES,Panama,Panama,16,1
